"Tract","Walker","Pass","Distance","Sherds","Other","Bags"
2037,6,1,100,0,0,0
2037,8,1,100,0,0,0
2037,11,1,85,0,0,0
2037,13,1,80,0,0,0
2038,2,1,100,0,0,0
2038,6,1,6,0,0,0
2038,8,1,23,0,0,0
2038,11,1,40,0,0,0
2038,13,1,40,2,0,0
2039,2,1,100,2,0,0
2039,6,1,100,5,0,1
2039,8,1,100,3,0,0
2039,11,1,100,1,0,0
2039,13,1,100,0,0,0
2040,2,1,100,10,0,1
2040,6,1,100,0,0,0
2040,8,1,100,2,0,1
2040,11,1,100,3,0,0
2040,13,1,100,2,0,0
2041,2,1,100,0,0,0
2041,6,1,100,7,0,1
2041,8,1,100,57,8,8
2041,11,1,100,0,0,0
2041,13,1,100,0,0,0
2042,2,1,100,0,0,0
2042,6,1,100,0,1,1
2042,8,1,100,0,0,0
2042,11,1,100,2,0,1
2042,13,1,100,0,0,0
2043,2,1,100,5,1,2
2043,6,1,86,0,0,0
2043,8,1,80,4,2,1
2043,11,1,95,1,0,0
2043,13,1,100,8,0,1
2044,2,1,100,0,0,0
2044,6,1,100,0,0,0
2044,8,1,100,7,0,2
2044,11,1,95,7,0,1
2044,13,1,70,2,0,0
2045,2,1,100,0,0,0
2045,6,1,100,0,0,0
2046,2,1,100,0,0,0
2046,6,1,81,0,0,0
2047,2,1,100,0,0,0
2047,6,1,100,0,0,0
2047,11,1,100,0,0,0
2047,12,1,100,1,0,0
2048,2,1,100,0,0,0
2048,6,1,87,0,0,0
2048,11,1,85,0,0,0
2048,12,1,100,0,0,0
2049,2,1,100,0,0,0
2049,6,1,57,0,0,0
2049,11,1,65,4,0,1
2049,12,1,70,0,0,0
2050,2,1,68,1,0,1
2050,6,1,18,0,0,0
2051,2,1,30,0,0,0
2051,12,1,100,0,0,0
2052,6,1,100,0,0,0
2052,11,1,75,0,0,0
2053,6,1,22,0,0,0
2053,11,1,10,0,0,0
2054,2,1,100,2,0,0
2054,11,1,10,0,0,0
2054,12,1,50,0,0,0
2055,2,1,100,0,0,0
2055,6,1,22,0,0,0
2055,8,1,50,3,0,0
2055,11,1,100,5,0,1
2055,12,1,100,0,0,0
2056,2,1,70,0,0,0
2056,6,1,100,2,0,1
2056,8,1,100,6,0,1
2056,11,1,65,6,0,1
2056,12,1,75,0,0,0
2057,2,1,60,0,0,0
2057,6,1,62,1,0,0
2057,8,1,60,1,0,0
2057,11,1,95,4,0,1
2057,12,1,60,17,0,1
2058,6,1,100,0,0,0
2058,11,1,95,4,0,1
2058,12,1,45,8,0,2
2059,6,1,50,0,0,0
3001,3,1,70,26,0,2
3001,6,1,40,3,0,1
3001,12,1,60,6,0,1
3001,15,1,60,4,0,0
3001,19,1,55,6,0,0
3002,3,1,37,2,0,0
3002,6,1,100,6,0,0
3002,12,1,75,1,0,0
3002,15,1,40,2,0,0
3002,19,1,55,4,0,0
3003,3,1,100,62,0,0
3003,6,1,74,62,0,3
3003,12,1,85,34,0,0
3003,15,1,91,37,0,1
3003,19,1,80,12,0,0
3004,3,1,100,14,0,1
3004,6,1,100,32,0,1
3004,12,1,100,27,0,0
3004,15,1,96,18,0,3
3004,19,1,100,32,0,0
3005,3,1,100,3,0,1
3005,6,1,100,6,0,1
3005,12,1,100,24,0,0
3005,15,1,100,9,0,1
3005,19,1,100,12,0,0
3006,3,1,100,2,0,1
3006,6,1,100,8,0,2
3006,12,1,100,4,0,0
3006,15,1,100,3,0,1
3006,19,1,100,3,0,0
3007,3,1,100,1,1,1
3007,6,1,100,0,0,0
3007,12,1,100,8,0,0
3007,15,1,100,3,0,0
3007,19,1,100,6,0,0
3008,3,1,100,0,0,0
3008,6,1,100,1,0,0
3008,12,1,100,5,0,0
3008,15,1,100,1,0,1
3008,19,1,100,5,0,0
3009,3,1,100,3,0,0
3009,6,1,100,6,0,1
3009,12,1,100,4,0,0
3009,15,1,100,7,0,4
3009,19,1,100,4,0,0
3010,3,1,100,4,0,1
3010,6,1,100,0,0,0
3010,12,1,100,4,0,0
3010,15,1,100,3,0,0
3010,19,1,100,3,0,0
3011,6,1,100,0,0,0
3011,12,1,65,4,0,0
3011,15,1,40,0,0,0
3011,19,1,50,1,0,1
3012,3,1,72,16,0,1
3012,6,1,75,0,0,0
3012,12,1,74,1,0,0
3012,15,1,64,1,0,0
3012,19,1,65,5,0,0
3013,3,1,89,5,0,3
3013,6,1,100,0,0,0
3013,12,1,100,7,0,0
3013,15,1,100,13,1,1
3013,19,1,100,30,0,0
3014,3,1,100,3,0,0
3014,6,1,100,1,0,0
3014,12,1,100,4,0,0
3014,15,1,100,2,0,0
3014,19,1,100,1,0,0
3015,3,1,100,0,0,0
3015,6,1,100,0,1,1
3015,12,1,100,0,0,0
3015,15,1,100,0,0,0
3015,19,1,100,0,0,0
3016,3,1,100,0,0,1
